Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1670000,0.24332298,1.4625479,346.6296296296296,1200.0,-3.403866406685362,-3.403866406685362,0.019880075,0.02413007,0.00024991378,0.18330462,0.004166899,1.0
1680000,0.14453852,1.4616796,349.7936507936508,1198.7888795438037,-3.0557140486281633,-3.0557140486281633,None,None,None,None,None,1.0
1690000,0.06513977,1.4610168,331.3015873015873,1198.8312902459409,-3.0029998377819234,-3.0029998377819234,0.0124887815,0.020092987,0.00024959873,0.18319955,0.004161658,1.0
1700000,0.009937326,1.460821,232.32432432432432,None,-2.78299976431299,-2.78299976431299,0.011836632,0.022219019,0.0002492838,0.18309456,0.004156419,1.0
1710000,-0.04203333,1.459455,347.6774193548387,1198.8277648772282,-2.646799837409829,-2.646799837409829,0.015223476,0.028265957,0.00024896875,0.18298958,0.00415118,1.0
1720000,-0.06736923,1.458526,433.4651162790698,1198.9867752150676,-1.9906665140142044,-1.9906665140142044,0.016235715,0.022261871,0.00024865376,0.1828846,0.0041459408,1.0
1730000,-0.09030129,1.4566232,358.8688524590164,1198.5702159880661,-2.1893331850878894,-2.1893331850878894,0.010231717,0.023604374,0.0002483387,0.18277963,0.004140702,1.0
1740000,-0.09908416,1.4547336,359.07272727272726,1200.2432661159949,-1.4242665171002349,-1.4242665171002349,0.01406639,0.021000508,0.00024802375,0.18267456,0.0041354606,1.0
1750000,-0.10946624,1.4530543,366.86206896551727,1201.5579658387446,-1.9247998789573708,-1.9247998789573708,0.012964925,0.022745406,0.0002477087,0.18256956,0.004130222,1.0
1760000,-0.12021034,1.4539852,347.9122807017544,1201.4512224016191,-1.4631998956824341,-1.4631998956824341,0.008208245,0.020844813,0.00024739376,0.18246458,0.004124983,1.0
1770000,-0.11631611,1.4524283,354.2542372881356,1202.6262847547857,-1.041599905770272,-1.041599905770272,0.013265912,0.023053668,0.0002470788,0.1823596,0.004119744,1.0
1780000,-0.121117145,1.4484713,406.22,1204.6734208157893,-1.2134665507668008,-1.2134665507668008,0.016285563,0.03266333,0.00024676375,0.18225463,0.004114503,1.0
1790000,-0.11545266,1.4461607,387.98148148148147,1204.8423189716748,-1.095733251127725,-1.095733251127725,0.011795981,0.019997733,0.00024644876,0.18214954,0.0041092634,1.0
1800000,-0.108424924,1.4498987,412.82978723404256,1205.5466615020237,-0.7651999320834875,-0.7651999320834875,0.013964396,0.02507851,0.00024613374,0.18204457,0.0041040247,1.0
1810000,-0.10885461,1.444892,396.96078431372547,1207.0479687766524,-1.533866582221041,-1.533866582221041,0.009756239,0.021166615,0.00024581878,0.18193957,0.0040987856,1.0
1820000,-0.113624744,1.4464368,359.3103448275862,1207.7976883018405,-0.8915999320646127,-0.8915999320646127,0.01152488,0.025668653,0.00024550373,0.18183461,0.004093545,1.0
1830000,-0.10548493,1.4456139,401.75,1207.823359707985,-1.317333242079864,-1.317333242079864,0.015556074,0.02075335,0.00024518877,0.18172963,0.0040883054,1.0
1840000,-0.10679357,1.4467394,409.531914893617,1207.823359707985,-1.2622665931470691,-1.2622665931470691,0.011060613,0.024296397,0.00024487372,0.18162455,0.0040830662,1.0
1850000,-0.110717565,1.4450233,385.6727272727273,1207.823359707985,-0.9183999100700021,-0.9183999100700021,0.014874566,0.022734428,0.00024455876,0.18151955,0.004077827,1.0
1860000,-0.10968865,1.4480358,456.69767441860466,1208.3319507797462,-1.3005332579681028,-1.3005332579681028,0.014917973,0.02279196,0.00024424368,0.18141457,0.0040725865,1.0
1870000,-0.094058275,1.4412987,348.8909090909091,1208.80804788244,3.584749987296527,3.584749987296527,1.6888597,0.019954776,0.00024393498,0.18131165,0.0040674517,1.0
1880000,0.06003678,1.4433286,362.67241379310343,1209.581857159373,4.359860481098727,4.359860481098727,1.6762645,0.022642188,0.0002436271,0.18120904,0.004062331,1.0
1890000,0.17529972,1.4416542,251.0,1211.6054059244473,2.342222191050597,2.342222191050597,1.4324478,0.02037484,0.00024331917,0.18110642,0.0040572076,1.0
1900000,0.32662493,1.445018,407.1764705882353,1210.26865022119,3.427055539149377,3.427055539149377,1.5286419,0.026600098,0.0002430104,0.18100348,0.0040520723,1.0
1910000,0.46481392,1.4469279,364.44827586206895,1211.0671973563528,2.7980930009900136,2.7980930009900136,None,None,None,None,None,1.0
1920000,0.5358664,1.4481767,361.3090909090909,1215.5596035686945,4.37750002531684,4.37750002531684,1.6080772,0.025286695,0.00024269972,0.18089993,0.0040469035,1.0
1930000,0.69388026,1.4461614,417.6041666666667,1215.4778972177191,5.238303018035367,5.238303018035367,1.7620858,0.022315482,0.00024239194,0.18079726,0.0040417844,1.0
1940000,0.7949753,1.4434394,379.2,1215.1053785077843,3.4790769079461312,3.4790769079461312,1.5557344,0.018642696,0.00024208393,0.18069462,0.004036663,1.0
1950000,0.8414174,1.4448072,406.5882352941176,1216.0771303073552,4.3035675724213185,4.3035675724213185,1.4947923,0.02342529,0.00024177537,0.18059173,0.004031529,1.0
1960000,0.9083714,1.441748,366.10526315789474,1219.7162843901476,4.321560941778532,4.321560941778532,1.6399578,0.028488835,0.00024146524,0.18048842,0.00402637,1.0
1970000,0.9659304,1.4453526,392.6730769230769,1215.3664230968188,2.3308421225764935,2.3308421225764935,1.5507658,0.022118697,0.00024115686,0.18038562,0.0040212423,1.0
1980000,0.94619095,1.4409178,379.86538461538464,1214.4468241386373,2.921405401269628,2.921405401269628,1.5398526,0.02140023,0.00024084827,0.18028273,0.0040161083,1.0
1990000,0.96812075,1.4421107,346.280701754386,1213.615440264786,3.5503809372229234,3.5503809372229234,1.4086398,0.022472646,0.00024053961,0.1801799,0.0040109744,1.0
2000000,1.0052629,1.4409614,408.7647058823529,1215.4407978960508,4.679555503774383,4.679555503774383,1.5807393,0.022938738,0.00024023047,0.18007676,0.004005833,1.0
2010000,1.1113439,1.4415163,372.7037037037037,1217.3772770186183,2.669230801739897,2.669230801739897,1.7503215,0.020877471,0.0002399227,0.17997421,0.004000714,1.0
2020000,1.0530667,1.4444858,385.7962962962963,1215.1709858423521,2.635333337397195,2.635333337397195,1.1653016,0.020540947,0.00023961546,0.17987186,0.003995604,1.0
2030000,1.0253409,1.4437221,373.72,1215.474780161042,3.963542821857014,3.963542821857014,1.5362318,0.024022732,0.00023930646,0.17976876,0.003990463,1.0
2040000,1.0385758,1.4432168,410.47058823529414,1217.5498004906972,3.1675000015206427,3.1675000015206427,1.4103513,0.021083891,0.00023899743,0.17966576,0.003985323,1.0
2050000,1.0391171,1.4458009,412.04,1219.114198348822,4.706685722359855,4.706685722359855,1.4657012,0.022423387,0.00023868777,0.17956258,0.0039801733,1.0
2060000,1.089444,1.4444602,381.43636363636364,1224.186377476964,5.440199961373582,5.440199961373582,1.5582783,0.016064206,0.00023837901,0.17945963,0.003975036,1.0
2070000,1.1236159,1.4419754,311.44262295081967,1226.0584219753025,-1.0467142154063498,-1.0467142154063498,1.1166505,0.020371132,0.0002380693,0.17935644,0.0039698854,1.0
2080000,1.0408185,1.4449722,358.4406779661017,1226.5217212785199,-0.6543332704265291,-0.6543332704265291,0.023542808,0.02232508,0.00023775424,0.17925137,0.003964646,1.0
2090000,0.8919829,1.4432794,253.57142857142858,None,-0.5771999469492585,-0.5771999469492585,0.017525958,0.02255324,0.00023743931,0.1791464,0.0039594052,1.0
2100000,0.77407885,1.4417423,353.16129032258067,1226.6210895444356,-0.7265332721639425,-0.7265332721639425,0.015745541,0.026210638,0.00023712435,0.17904142,0.0039541665,1.0
2110000,0.6715824,1.4418577,408.1875,1227.3415922646743,-0.6010666038685789,-0.6010666038685789,0.01472427,0.028850278,0.0002368093,0.17893644,0.0039489274,1.0
2120000,0.5866684,1.4414881,365.82456140350877,1225.8809042592766,-0.8646666156748931,-0.8646666156748931,0.008898098,0.020652752,0.00023649432,0.17883144,0.0039436882,1.0
2130000,0.5017882,1.437981,372.1296296296296,1222.2529739508766,-1.0386666195467114,-1.0386666195467114,0.010779675,0.020212917,0.00023617929,0.17872639,0.003938449,1.0
2140000,0.42760628,1.4360846,352.3050847457627,1220.851867003239,-0.5778666171090057,-0.5778666171090057,0.0120493565,0.018026423,0.00023586433,0.17862138,0.003933208,1.0
